'date','symbol','open','high','low','close','Volume BTC','Volume BRL','tradecount'
'2022-04-17 00:00:00','BTC/BRL','191532.00000000','191659.00000000','191237.00000000','191549.00000000','2.31793000','443895.41544000',252
'2022-04-16 00:00:00','BTC/BRL','192308.00000000','193060.00000000','189645.00000000','191514.00000000','99.45156000','19028019.59130000',8694
'2022-04-15 00:00:00','BTC/BRL','189292.00000000','193481.00000000','188520.00000000','192320.00000000','160.92152000','30730773.34798000',10975
'2022-04-14 00:00:00','BTC/BRL','194565.00000000','196172.00000000','187134.00000000','189267.00000000','296.23960000','56711040.71342000',17481
'2022-04-13 00:00:00','BTC/BRL','189000.00000000','195770.00000000','186200.00000000','194543.00000000','384.42073000','73537558.90339000',19572
'2022-04-12 00:00:00','BTC/BRL','187441.00000000','192407.00000000','185156.00000000','188910.00000000','470.54003000','88745371.73495000',26302
'2022-04-11 00:00:00','BTC/BRL','200065.00000000','201081.00000000','185915.00000000','187418.00000000','498.96877000','96521904.97028000',34941
'2022-04-10 00:00:00','BTC/BRL','202979.00000000','205920.00000000','198599.00000000','200204.00000000','166.81185000','33818456.85436000',12798
'2022-04-09 00:00:00','BTC/BRL','200332.00000000','203045.00000000','199860.00000000','202899.00000000','140.51409000','28283897.50500000',12757
'2022-04-08 00:00:00','BTC/BRL','208145.00000000','210584.00000000','199846.00000000','200402.00000000','417.73682000','86005863.83287000',23004
'2022-04-07 00:00:00','BTC/BRL','205417.00000000','209453.00000000','203334.00000000','208257.00000000','321.79067000','66739442.72222000',19933
'2022-04-06 00:00:00','BTC/BRL','213301.00000000','213557.00000000','205000.00000000','205417.00000000','535.97896000','112333479.70383000',27754
'2022-04-05 00:00:00','BTC/BRL','216025.00000000','219000.00000000','212893.00000000','213299.00000000','403.31978000','87012499.21946000',20774
'2022-04-04 00:00:00','BTC/BRL','218243.00000000','218351.00000000','210090.00000000','216057.00000000','706.57082000','151564366.67545000',25257
'2022-04-03 00:00:00','BTC/BRL','215516.00000000','222764.00000000','214170.00000000','218224.00000000','352.63575000','76857057.50588000',16046
'2022-04-02 00:00:00','BTC/BRL','217888.00000000','221491.00000000','214688.00000000','215574.00000000','444.70166000','97101737.75248000',19262
'2022-04-01 00:00:00','BTC/BRL','217794.00000000','221400.00000000','211304.00000000','217870.00000000','540.36344000','117054250.37271000',27901
'2022-03-31 00:00:00','BTC/BRL','226425.00000000','228525.00000000','216300.00000000','217795.00000000','467.63525000','103989124.07925000',26929
'2022-03-30 00:00:00','BTC/BRL','227575.00000000','229300.00000000','223391.00000000','226422.00000000','403.47156000','91265075.66453000',22477
'2022-03-29 00:00:00','BTC/BRL','225643.00000000','229798.00000000','225046.00000000','227603.00000000','347.65782000','79170946.52937000',19756
'2022-03-28 00:00:00','BTC/BRL','222942.00000000','230946.00000000','222223.00000000','225602.00000000','466.93150000','106123297.42172000',28015
'2022-03-27 00:00:00','BTC/BRL','213014.00000000','223352.00000000','212693.00000000','222975.00000000','255.13419000','55480419.61504000',15287
'2022-03-26 00:00:00','BTC/BRL','212015.00000000','214259.00000000','211000.00000000','213015.00000000','175.85159000','37326691.16806000',10920
'2022-03-25 00:00:00','BTC/BRL','213085.00000000','217520.00000000','211250.00000000','211896.00000000','399.14039000','85410883.01155000',19780
